id,console-name,product-name,loose-price
836913,Pokemon Champion's Path,Absol #38,$0.25
887529,Pokemon Champion's Path,Absol [Reverse Holo] #38,$0.26
836897,Pokemon Champion's Path,Alcremie V #22,$2.37
836898,Pokemon Champion's Path,Alcremie VMAX #23,$4.88
7096075,Pokemon Champion's Path,Alcremie VMAX [Prize Pack] #23,$84.86
887476,Pokemon Champion's Path,Altaria [Holo] #49,$0.44
11550929,Pokemon Champion's Path,Altaria [Prize Pack] #49,$1.61
887539,Pokemon Champion's Path,Altaria [Reverse Holo] #49,$0.29
887462,Pokemon Champion's Path,Arbok #34,$0.22
887525,Pokemon Champion's Path,Arbok [Reverse Holo] #34,$0.40
887477,Pokemon Champion's Path,Bede #50,$0.18
887540,Pokemon Champion's Path,Bede [Reverse Holo] #50,$0.22
887436,Pokemon Champion's Path,Beedrill #4,$0.29
887508,Pokemon Champion's Path,Beedrill [Reverse Holo] #4,$0.50
4200085,Pokemon Champion's Path,Booster Pack,$14.83
887443,Pokemon Champion's Path,Carvanha #11,$0.11
887513,Pokemon Champion's Path,Carvanha [Reverse Holo] #11,$0.15
887442,Pokemon Champion's Path,Centiskorch #10,$0.20
887512,Pokemon Champion's Path,Centiskorch [Reverse Holo] #10,$0.25
836945,Pokemon Champion's Path,Charizard V #79,$233.51
836944,Pokemon Champion's Path,Charizard VMAX #74,$131.83
887446,Pokemon Champion's Path,Drednaw V #14,$0.99
887496,Pokemon Champion's Path,Drednaw V #69,$1.25
836890,Pokemon Champion's Path,Drednaw VMAX #15,$2.21
887501,Pokemon Champion's Path,Drednaw VMAX #75,$6.00
887474,Pokemon Champion's Path,Duraludon V #47,$1.00
887461,Pokemon Champion's Path,Ekans #33,$0.17
887524,Pokemon Champion's Path,Ekans [Reverse Holo] #33,$0.38
887437,Pokemon Champion's Path,Eldegoss V #5,$0.73
3346511,Pokemon Champion's Path,Elite Trainer Box,$154.99
887478,Pokemon Champion's Path,Full Heal #51,$0.14
887541,Pokemon Champion's Path,Full Heal [Reverse Holo] #51,$0.15
887452,Pokemon Champion's Path,Galarian Cursola V #21,$1.23
887498,Pokemon Champion's Path,Galarian Cursola V #71,$1.87
887464,Pokemon Champion's Path,Galarian Linoone #36,$0.17
887527,Pokemon Champion's Path,Galarian Linoone [Reverse Holo] #36,$0.25
887465,Pokemon Champion's Path,Galarian Obstagoon #37,$0.29
887528,Pokemon Champion's Path,Galarian Obstagoon [Reverse Holo] #37,$0.24
887463,Pokemon Champion's Path,Galarian Zigzagoon #35,$0.15
887526,Pokemon Champion's Path,Galarian Zigzagoon [Reverse Holo] #35,$0.25
836891,Pokemon Champion's Path,Gardevoir V #16,$1.67
887497,Pokemon Champion's Path,Gardevoir V #70,$3.49
887448,Pokemon Champion's Path,Gardevoir VMAX #17,$3.06
887502,Pokemon Champion's Path,Gardevoir VMAX #76,$13.71
887460,Pokemon Champion's Path,Grapploct V #32,$0.99
887499,Pokemon Champion's Path,Grapploct V #72,$2.09
887479,Pokemon Champion's Path,Great Ball #52,$0.14
887542,Pokemon Champion's Path,Great Ball [Reverse Holo] #52,$0.23
887449,Pokemon Champion's Path,Hatenna #18,$0.14
887515,Pokemon Champion's Path,Hatenna [Reverse Holo] #18,$0.21
887451,Pokemon Champion's Path,Hatterene #20,$0.40
887517,Pokemon Champion's Path,Hatterene [Reverse Holo] #20,$0.32
887450,Pokemon Champion's Path,Hattrem #19,$0.19
887516,Pokemon Champion's Path,Hattrem [Reverse Holo] #19,$0.25
887480,Pokemon Champion's Path,Hop #53,$0.13
887500,Pokemon Champion's Path,Hop #73,$1.50
887543,Pokemon Champion's Path,Hop [Reverse Holo] #53,$0.24
887481,Pokemon Champion's Path,Hyper Potion #54,$0.15
887544,Pokemon Champion's Path,Hyper Potion [Reverse Holo] #54,$0.19
887440,Pokemon Champion's Path,Incineroar V #8,$1.17
887471,Pokemon Champion's Path,Inkay #44,$0.21
887535,Pokemon Champion's Path,Inkay [Reverse Holo] #44,$0.25
887482,Pokemon Champion's Path,Kabu #55,$0.12
887503,Pokemon Champion's Path,Kabu #77,$3.17
887545,Pokemon Champion's Path,Kabu [Reverse Holo] #55,$0.14
887435,Pokemon Champion's Path,Kakuna #3,$0.14
887507,Pokemon Champion's Path,Kakuna [Reverse Holo] #3,$0.25
887467,Pokemon Champion's Path,Liepard #40,$0.19
887531,Pokemon Champion's Path,Liepard [Reverse Holo] #40,$0.21
836902,Pokemon Champion's Path,Lucario V #27,$2.50
887458,Pokemon Champion's Path,Lycanroc #30,$0.51
887522,Pokemon Champion's Path,Lycanroc [Reverse Holo] #30,$0.23
836901,Pokemon Champion's Path,Machamp #26,$0.82
887520,Pokemon Champion's Path,Machamp [Reverse Holo] #26,$0.37
887454,Pokemon Champion's Path,Machoke #25,$0.22
887519,Pokemon Champion's Path,Machoke [Reverse Holo] #25,$0.29
887453,Pokemon Champion's Path,Machop #24,$0.20
836958,Pokemon Champion's Path,Machop [Reverse Holo] #24,$0.56
887472,Pokemon Champion's Path,Malamar #45,$0.21
887536,Pokemon Champion's Path,Malamar [Reverse Holo] #45,$0.23
887483,Pokemon Champion's Path,Marnie #56,$0.50
887546,Pokemon Champion's Path,Marnie [Reverse Holo] #56,$1.18
9143392,Pokemon Champion's Path,Metal Energy [Reverse Holo],$1.99
887484,Pokemon Champion's Path,Milo #57,$0.12
887547,Pokemon Champion's Path,Milo [Reverse Holo] #57,$0.40
887473,Pokemon Champion's Path,Nickit #46,$0.11
887537,Pokemon Champion's Path,Nickit [Reverse Holo] #46,$0.15
887485,Pokemon Champion's Path,Piers #58,$0.29
887504,Pokemon Champion's Path,Piers #78,$3.94
887548,Pokemon Champion's Path,Piers [Reverse Holo] #58,$0.34
887486,Pokemon Champion's Path,Poke Ball #59,$0.10
887549,Pokemon Champion's Path,Poke Ball [Reverse Holo] #59,$0.14
887487,Pokemon Champion's Path,Pokemon Center Lady #60,$0.24
887550,Pokemon Champion's Path,Pokemon Center Lady [Reverse Holo] #60,$0.33
887488,Pokemon Champion's Path,Potion #61,$0.10
887551,Pokemon Champion's Path,Potion [Reverse Holo] #61,$0.21
8573315,Pokemon Champion's Path,Premium Collection: Marnie,$105.87
1368340,Pokemon Champion's Path,Professor's Research #62,$0.15
1368341,Pokemon Champion's Path,Professor's Research [Reverse Holo] #062,$1.37
887466,Pokemon Champion's Path,Purrloin #39,$0.17
887530,Pokemon Champion's Path,Purrloin [Reverse Holo] #39,$0.45
887457,Pokemon Champion's Path,Rockruff #29,$0.20
887521,Pokemon Champion's Path,Rockruff [Reverse Holo] #29,$0.25
887459,Pokemon Champion's Path,Rolycoly #31,$0.14
887523,Pokemon Champion's Path,Rolycoly [Reverse Holo] #31,$0.18
887490,Pokemon Champion's Path,Rotom Bike #63,$0.18
887553,Pokemon Champion's Path,Rotom Bike [Reverse Holo] #63,$0.28
887491,Pokemon Champion's Path,Rotom Phone #64,$0.20
887554,Pokemon Champion's Path,Rotom Phone [Reverse Holo] #64,$0.45
887469,Pokemon Champion's Path,Scrafty #42,$0.23
887533,Pokemon Champion's Path,Scrafty [Reverse Holo] #42,$0.25
887468,Pokemon Champion's Path,Scraggy #41,$0.17
887532,Pokemon Champion's Path,Scraggy [Reverse Holo] #41,$0.21
8573318,Pokemon Champion's Path,Sealed Collection: Dubwool V,$45.00
8573317,Pokemon Champion's Path,Sealed Collection: Hatterene V,$47.03
8573324,Pokemon Champion's Path,Sealed Pin Collection: Hammerlocke Gym,$42.11
8573320,Pokemon Champion's Path,Sealed Pin Collection: Spikemuth Gym,$41.25
887444,Pokemon Champion's Path,Sharpedo #12,$0.16
887514,Pokemon Champion's Path,Sharpedo [Reverse Holo] #12,$0.25
887441,Pokemon Champion's Path,Sizzlipede #9,$0.10
887511,Pokemon Champion's Path,Sizzlipede [Reverse Holo] #9,$0.16
887492,Pokemon Champion's Path,Sonia #65,$0.19
836995,Pokemon Champion's Path,Sonia [Reverse Holo] #65,$0.36
9961734,Pokemon Champion's Path,Special Collection Box - Marnie,$57.78
8573322,Pokemon Champion's Path,Special Pin Collection: Circhester,$61.57
10596159,Pokemon Champion's Path,Special Pin Collection: Stow-On-Side,$231.37
887493,Pokemon Champion's Path,Suspicious Food Tin #66,$0.10
887505,Pokemon Champion's Path,Suspicious Food Tin #80,$1.90
887555,Pokemon Champion's Path,Suspicious Food Tin [Reverse Holo] #66,$0.25
887475,Pokemon Champion's Path,Swablu #48,$0.26
887538,Pokemon Champion's Path,Swablu [Reverse Holo] #48,$0.40
887494,Pokemon Champion's Path,Team Yell Grunt #67,$0.08
887556,Pokemon Champion's Path,Team Yell Grunt [Reverse Holo] #67,$0.21
887470,Pokemon Champion's Path,Trubbish #43,$0.25
887534,Pokemon Champion's Path,Trubbish [Reverse Holo] #43,$0.67
887495,Pokemon Champion's Path,Turffield Stadium #68,$0.15
887557,Pokemon Champion's Path,Turffield Stadium [Reverse Holo] #68,$0.23
887434,Pokemon Champion's Path,Venusaur V #1,$2.50
887439,Pokemon Champion's Path,Victini #7,$0.20
887510,Pokemon Champion's Path,Victini [Reverse Holo] #7,$0.46
887438,Pokemon Champion's Path,Vulpix #6,$0.23
887509,Pokemon Champion's Path,Vulpix [Reverse Holo] #6,$0.81
887445,Pokemon Champion's Path,Wailord V #13,$1.72
887433,Pokemon Champion's Path,Weedle #2,$0.25
887506,Pokemon Champion's Path,Weedle [Reverse Holo] #2,$0.78
887456,Pokemon Champion's Path,Zygarde #28,$0.59
836960,Pokemon Champion's Path,Zygarde [Reverse Holo] #28,$0.22
